,QuollRun,Cycle,Duration,Plag,Flag,Hlag,DF,DFH,DFF,Speed,Gait,sdh,sdf,PlagM,FlagM,HlagM,GaitM,surf,cali,SpC,GaitCY,GaitCYM
226,atticus_ff2_flatxypts.csv,3,63,0.380952381,0.301587302,-0.174603175,0.492063492,0.492063492,NA,628.3830576,Rotary Gallop,202.2382921,NA,0.46031746,0.468253968,-0.317460317,Rotary Gallop,flat,1.011640252,621.1526838,Half Bound,Half Bound
227,atticus_ff3_flatxypts.csv,1,65.25,0.475095785,0.367816092,-0.229885057,0.488995402,0.525479744,0.452511059,1236.170953,Rotary Gallop,353.8227709,293.6963008,0.567049808,0.413793103,-0.214559387,Rotary Gallop,flat,1.011640252,1221.94718,Half Bound,Half Bound
228,atticus_ff3_flatxypts.csv,2,62,0.612903226,0.35483871,-0.193548387,0.424117922,0.416340621,0.431895223,1381.658672,Rotary Gallop,220.1821843,306.6213043,0.612903226,0.314516129,-0.193548387,Rotary Gallop,flat,1.011640252,1365.760871,Half Bound,Half Bound
229,atticus_ff4_flatxypts.csv,1,44,0.159090909,0.477272727,0.045454545,0.38655677,0.361702128,0.411411411,1746.175151,Half Bound,318.9918196,291.9772548,0.170454545,0.409090909,0,Half Bound,flat,1.020798077,1710.598002,Half Bound,Half Bound
230,atticus_ff4_flatxypts.csv,2,52.75,0.322274882,0.246445498,0.037914692,0.423161627,0.445614035,0.40070922,1454.046299,Half Bound,235.8036293,278.4584128,0.331753555,0.218009479,-0.037914692,Rotary Gallop,flat,1.020798077,1424.42108,Half Bound,Half Bound
231,atticus_ff4_flatxypts.csv,3,60.33333333,0.165745856,0.38121547,-0.082872928,0.547466889,0.593220339,0.524590164,995.848339,Rotary Gallop,225.0620195,230.7813674,0.26519337,0.314917127,-0.041436464,Rotary Gallop,flat,1.020798077,975.5585962,Half Bound,Half Bound
232,atticus_ff5_flatxypts.csv,1,55.5,0.324324324,0.216216216,0,0.388524097,0.402711324,0.37433687,1660.018717,Half Bound,341.6722662,366.8447895,0.324324324,0.207207207,-0.045045045,Rotary Gallop,flat,1.020798077,1626.196948,Half Bound,Half Bound
233,atticus_ff5_flatxypts.csv,2,53.5,0.317757009,0.336448598,0.037383178,0.448426573,NA,0.448426573,1469.131196,Half Bound,NA,293.6971634,0.327102804,0.317757009,0.009345794,Half Bound,flat,1.020798077,1439.198632,Half Bound,Half Bound
234,atticus_ff6_flatxypts.csv,1,44.75,0.581005587,0.17877095,0,0.407983236,0.408649399,0.407317073,1983.222968,Half Bound,318.5849808,324.5203686,0.603351955,0.189944134,0,Half Bound,flat,1.020798077,1942.816128,Half Bound,Half Bound
235,atticus_ff7_flatxypts.csv,1,51.25,0.312195122,0.214634146,-0.019512195,0.401301794,0.375323714,0.427279874,1614.187132,Rotary Gallop,368.3856221,325.7460007,0.292682927,0.204878049,-0.029268293,Rotary Gallop,flat,1.020798077,1581.299151,Half Bound,Half Bound
236,atticus_ff7_flatxypts.csv,2,51.25,0.312195122,0.312195122,0.019512195,0.454078366,0.510835303,0.397321429,1566.727927,Half Bound,265.0624894,302.5369107,0.341463415,0.302439024,-0.029268293,Rotary Gallop,flat,1.020798077,1534.806895,Half Bound,Half Bound
237,atticus_ff7_flatxypts.csv,3,58.75,0.238297872,0.408510638,0.136170213,0.508840115,0.541265135,0.476415094,1204.735343,Transverse Gallop,252.4404669,254.2210094,0.34893617,0.382978723,0.178723404,Transverse Gallop,flat,1.020798077,1180.189667,Canter,Canter
238,cam_ff1_flatxypts.csv,1,33,0.393939394,0.060606061,-0.060606061,0.409508882,0.397835498,0.421182266,2363.398731,Rotary Gallop,331.9740989,301.9142242,0.378787879,0.015151515,-0.045454545,Bound,flat,1.011640252,2336.204719,Bound,Bound
239,cam_ff1_flatxypts.csv,2,34.75,0.316546763,0.115107914,-0.115107914,0.431009505,0.441850942,0.420168067,2386.079756,Rotary Gallop,322.4456485,338.2212517,0.35971223,0.100719424,-0.071942446,Rotary Gallop,flat,1.011640252,2358.624769,Half Bound,Half Bound
240,cam_ff1_flatxypts.csv,3,31.25,0.448,0.096,0,0.449925595,0.433333333,0.466517857,2299.032106,Half Bound,301.1457878,257.5272402,0.432,0.128,0,Half Bound,flat,1.011640252,2272.578718,Bound,Half Bound
241,cam_ff2_flatxypts.csv,1,37.5,0.426666667,0.24,0.053333333,0.382383908,0.411786787,0.35298103,2205.296341,Transverse Gallop,300.53801,330.0884741,0.426666667,0.226666667,0,Half Bound,flat,1.011640252,2179.921505,Half Bound,Half Bound
242,cam_ff2_flatxypts.csv,2,38.75,0.309677419,0.361290323,0.077419355,0.411107449,0.422214898,0.4,2080.331828,Transverse Gallop,333.4035532,317.7221946,0.335483871,0.296774194,0.038709677,Half Bound,flat,1.011640252,2056.394874,Half Bound,Half Bound
243,cam_ff3_flatxypts.csv,1,42,0.523809524,0.166666667,0.142857143,0.402272727,0.402272727,NA,2094.949159,Transverse Gallop,358.7527878,NA,0.547619048,0.19047619,0.071428571,Transverse Gallop,flat,1.011640252,2070.844012,Gallop,Half Bound
244,clarie_ff1_flatxypts.csv,1,65,0.338461538,0.430769231,-0.2,0.51857898,0.47761194,0.5390625,842.6265053,Rotary Gallop,217.9995628,200.0207181,0.384615385,0.376923077,-0.238461538,Rotary Gallop,flat,1.011640252,832.9309788,Half Bound,Half Bound
245,gale_f1_flatxypts.csv,1,58,0.620689655,0.293103448,-0.017241379,0.508774631,0.512857978,0.504691283,1230.194584,Rotary Gallop,244.7882539,255.3862462,0.629310345,0.293103448,-0.017241379,Rotary Gallop,flat,1.011640252,1216.039577,Half Bound,Half Bound
246,gale_f1_flatxypts.csv,2,54.25,0.64516129,0.258064516,-0.036866359,0.51244529,0.528301887,0.496588694,1173.258326,Rotary Gallop,230.2705761,245.7818804,0.6359447,0.230414747,-0.036866359,Rotary Gallop,flat,1.011640252,1159.758445,Half Bound,Half Bound
247,gale_f1_flatxypts.csv,3,57.75,0.588744589,0.294372294,-0.034632035,0.519144162,0.526167113,0.512121212,1159.929216,Rotary Gallop,285.0590317,248.9000265,0.571428571,0.251082251,-0.043290043,Rotary Gallop,flat,1.011640252,1146.582704,Half Bound,Half Bound
248,gale_f1_flatxypts.csv,4,54,0.611111111,0.222222222,0,0.47186964,NA,0.47186964,1285.778301,Half Bound,NA,272.7681737,0.611111111,0.25,0,Half Bound,flat,1.011640252,1270.98373,Half Bound,Half Bound
249,gale_f2_flatxypts.csv,1,48.5,0.515463918,0.144329897,-0.041237113,0.418153826,0.406446541,0.429861111,1950.60571,Rotary Gallop,327.137078,344.7801898,0.536082474,0.164948454,-0.030927835,Rotary Gallop,flat,1.011640252,1928.161426,Half Bound,Half Bound
250,gale_f2_flatxypts.csv,2,51,0.647058824,0.196078431,0.058823529,0.457340426,0.45,0.464680851,1481.419822,Transverse Gallop,249.1320116,282.8295141,0.647058824,0.205882353,0.019607843,Half Bound,flat,1.011640252,1464.374138,Half Bound,Half Bound
251,gale_f2_flatxypts.csv,3,66.25,0.573584906,0.105660377,0.090566038,0.576406547,0.644949066,0.507864028,911.5369947,Transverse Gallop,199.1984113,212.2940151,0.679245283,0.203773585,0.022641509,Half Bound,flat,1.011640252,901.0485623,Half Bound,Half Bound
252,gale_f2_polexypts.csv,1,34,0.411764706,0,-0.058823529,0.649763341,0.647812971,0.65171371,1312.524866,Bound,158.6086017,165.4241549,0.470588235,0.044117647,-0.073529412,Bound,pole,1.091124426,1202.91035,Bound,Bound
253,gale_f2_polexypts.csv,2,45,0.466666667,0.022222222,0.066666667,0.716972036,0.706117021,0.727827051,1010.938871,Bound,171.7119289,168.0884321,0.488888889,0.044444444,-0.011111111,Bound,pole,1.091124426,926.5110804,Bound,Bound
254,gale_f2_polexypts.csv,3,45,0.622222222,0.044444444,0.088888889,0.60884983,0.565217391,0.65248227,1162.496507,Bound,222.7149676,204.1269744,0.522222222,0.044444444,0,Bound,pole,1.091124426,1065.411496,Bound,Bound
255,gale_f2_polexypts.csv,4,40.75,0.564417178,0,0,0.583516719,0.554878049,0.612155388,1327.444326,Bound,203.4808741,204.82676,0.539877301,0.036809816,-0.049079755,Bound,pole,1.091124426,1216.583824,Bound,Bound
